№;Code;Name area;Number ;Full name;Address;Head;Phone code;Contact number;E-mail;Website;Russian language,amount;Russian language,GPA;Russian language,spravlyaemost;Mathematics profil,amount;Mathematics profil,GPA;Mathematics profil,spravlyaemost;Mathematics base,amount;Mathematics base,GPA;Mathematics base,spravlyaemost;Physics ,amount;Physics,GPA;Physics,spravlyaemost;Chemistry ,amount;Chemistry ,GPA;Chemistry,spravlyaemost;Biology,amount;Biology ,GPA;Biology,spravlyaemost;Geography ,amount;Geography ,GPA;Geography,spravlyaemost;Computer science ,amount;Computer science ,GPA;Computer science,spravlyaemost;Literature ,amount;Literature ,GPA;Literature,spravlyaemost;History ,amount;History ,GPA;History,spravlyaemost;Social Studies ,amount;Social Studies ,GPA;Social Studies,spravlyaemost;English ,amount;English ,GPA;English,spravlyaemost;German ,amount;German ,GPA;German,spravlyaemost;French ,amount;French ,GPA;French,spravlyaemost;Lat;Long
173;763323;Ростовский;;муниципальное общеобразовательное учреждение Коленовская средняя общеобразовательная школа;152137, Ярославская обл., Ростовский р-н, д. Коленово, ул. Заводская, д.15;Ильинская Ольга Михайловна;48536;43432;kolenovo@list.ru;http://kolenovo-ros.edu.yar.ru;7;75,7;100;6;50,3;100;7;4,7;100;2;50;100;2;48;100;2;63;100;;;;;;;;;;;;;4;60,3;100;;;;;;;;;;56.953923;39.19293
174;763309;Ростовский;;муниципальное общеобразовательное учреждение Петровская средняя общеобразовательная школа;152130, Ярославская обл., Ростовский р-н, р.п. Петровское, ул. Пролетарская, д.49;Сайдаль Мария Васильевна;48536;40181;school-petrovsk@yandex.ru;http://petr-ros.edu.yar.ru/;15;67,3;100;9;51,9;88,9;15;4,4;100;5;43;100;1;61;100;1;71;100;;;;1;75;100;1;72;100;6;52,7;100;13;55,9;92,3;;;;;;;;;;57.01047;39.266304
175;763310;Ростовский;;муниципальное общеобразовательное учреждение Семибратовская средняя общеобразовательная школа;152101, Ярославская обл., Ростовский р-н, пос. Семибратово, ул. Окружная, д.5;Лысюк Светлана Дмитриевна;48536;53288;semibratschool@mail.ru;http://semb-ros.edu.yar.ru;23;74,5;100;17;60,6;100;23;4,5;100;12;52,2;100;2;61,5;100;4;48,8;100;1;54;100;3;59,7;100;;;;2;71;100;12;61,3;100;;;;;;;;;;57.297494;39.545096
176;764402;Ростовский;2;муниципальное общеобразовательное учреждение средняя общеобразовательная школа N 2 г.Ростова;152151, Ярославская область, г. Ростов, ул. Революции, д.12а;Буянова Елена Ивановна;48536;62745;soginna@mail.ru;http://school2rostov.edu.yar.ru;2;56;100;;;;2;2,5;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.190792;39.432223
177;764403;Ростовский;3;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 3 г.Ростова;152155, Ярославская обл., Ростовский р-н, г. Ростов, ул. Ленинская, д.39;Пряженкова Елена Васильевна;48536;74684;ros.school-3@mail.ru;http://76206s003.edusite.ru;21;78,1;100;18;57,6;94,4;21;4,7;100;14;56,8;100;4;67,8;100;3;77;100;;;;2;47,5;100;1;60;100;1;36;100;6;59,2;100;;;;;;;;;;57.180261;39.400638
178;764404;Ростовский;4;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 4 г. Ростова;152150, Ярославская обл., Ростовский р-н, г. Ростов, 1 мкр., д.27;Архиреева Елена Анатольевна;48536;64594;ros-sh4@mail.ru;http://sh4-ros.edu.yar.ru;29;73,9;100;21;46,2;90,5;29;4,4;100;9;56,8;88,9;5;62,4;80;4;56,8;100;;;;4;71,5;100;;;;5;49,6;100;14;53,4;85,7;3;60,7;100;;;;;;;57.205713;39.436544
179;763332;Ростовский;;муниципальное общеобразовательное учреждение Хмельниковская средняя общеобразовательная школа;152131, Ярославская обл., Ростовский р-н, пос. Хмельники, ул. Заводская, д.40;Мироненко Татьяна Викторовна;48536;43535;miv53@yandex.ru;http://hmel-ros.edu.yar.ru;4;71,3;100;4;51,3;100;4;4,5;100;4;41;100;;;;1;45;100;;;;1;42;100;;;;;;;3;58;66,7;;;;;;;;;;56.941518;39.296775
180;763334;Ростовский;;муниципальное общеобразовательное учреждение Шурскольская средняя общеобразовательная школа;152124, Ярославская обл., Ростовский р-н, с. Шурскол, д.1а;Матвейчук Надежда Петровна;48536;26446;Shoorskol@yandex.ru;http://шурскол.рф;11;66,1;100;9;49,8;100;11;4,2;100;1;57;100;;;;2;28,5;50;;;;;;;;;;3;53,3;100;11;58,1;90,9;;;;;;;;;;57.15278;39.290819
181;763450;Рыбинский;;муниципальное образовательное учреждение Болтинская средняя общеобразовательная школа;152978, Ярославская обл., Рыбинский р-н, пос. Судоверфь, ул. Судостроительная, д.25а;Рыбакова Ирина Владимировна;4855;295903;dorogovavn@mail.ru;http://76310s003.edusite.ru;12;78,3;100;11;51,9;100;12;4,5;100;2;42,5;100;;;;3;56,3;100;;;;3;58;100;1;65;100;;;;4;63;100;1;84;100;;;;;;;58.113836;38.645443
182;763454;Рыбинский;;муниципальное образовательное учреждение Ермаковская средняя общеобразовательная школа;152968, Ярославская обл., Рыбинский р-н, пос. Ермаково, д.18;Амоев Алексей Резоевич;4855;258415;ktv415@mail.ru;http://ermak.edu.yar.ru;7;70;100;4;57;75;7;4,3;100;2;56;100;;;;3;48,7;66,7;;;;1;70;100;;;;1;55;100;4;59,3;100;;;;;;;;;;58.122934;38.888284
183;763455;Рыбинский;;муниципальное образовательное учреждение Каменниковская средняя общеобразовательная школа;152959, Ярославская обл., Рыбинский р-н, пос. Каменники, ул. Школьная, д.13;Силанова Надежда Анатольевна;4855;595504;rybcamenn@rambler.ru;http://www.76310s006.edusite.ru;7;75,4;100;6;47,8;100;7;4,7;100;1;59;100;;;;2;59,5;100;;;;1;72;100;;;;2;43;100;5;54,8;100;;;;;;;;;;58.152832;38.666634
184;763457;Рыбинский;;муниципальное образовательное учреждение Ломовская средняя общеобразовательная школа;152962, Ярославская обл., Рыбинский р-н, пос. Дюдьково, д.16;Винокурова Екатерина Алексеевна;4855;257534;lomschool@yandex.ru;http://76310s007.edusite.ru;4;72,8;100;2;57,5;100;4;4,8;100;1;76;100;;;;;;;;;;;;;;;;1;61;100;3;62;100;1;79;100;;;;;;;57.967307;39.232078
185;763463;Рыбинский;;муниципальное образовательное учреждение Октябрьская средняя общеобразовательная школа;152961, Ярославская обл., Рыбинский р-н, пос. Октябрьский, д.29а;Смолина Надежда Витальевна;4855;256776;sosh_okt@inbox.ru;http://76310s010.edusite.ru;8;74,9;100;6;50,8;83,3;6;4,2;100;;;;;;;;;;;;;1;68;100;;;;1;67;100;7;54,9;100;2;44;100;;;;;;;58.122934;38.888284
186;763453;Рыбинский;;муниципальное общеобразовательное учреждение Глебовская средняя общеобразовательная школа;152971, Ярославская обл., Рыбинский р-н, с. Глебово, ул. Школьная, д.13;Трофимова Инна Алимгазымовна ;4855;231322;p3glebov@yandex.ru;http://www.76310s004.edusite.ru;2;65;100;1;39;100;2;4;100;;;;;;;;;;;;;;;;;;;;;;2;58,5;100;;;;;;;;;;58.00809;38.444561
187;763462;Рыбинский;;муниципальное общеобразовательное учреждение Николо-Кормская средняя общеобразовательная школа;152986, Ярославская обл., Рыбинский р-н, с. Никольское, ул. Мира, д.18;Рыжова Татьяна Геннадьевна ;4855;233739;sh_nik_korm@mail.ru;http://76310s009.edusite.ru;5;79,4;100;3;46,3;100;3;5;100;1;46;100;1;50;100;3;51,3;100;;;;;;;;;;1;72;100;2;76,5;100;;;;;;;;;;57.906223;38.556896
188;764609;Тутаевский;;"Муниципальное общеобразовательное учреждение ""Левобережная средняя школа города Тутаева"" Тутаевского муниципального района";152302, Ярославская обл., Тутаевский р-н, г. Тутаев, ул. Ленина, д.96;Кулакова Ирина Эдуардовна;48533;78183;shkola2tutaev@mail.ru;http://76307s002.edusite.ru;15;82,9;100;9;49,8;100;13;4,2;100;;;;;;;3;74,7;100;;;;;;;1;62;100;2;64,5;100;8;61,9;100;1;31;100;;;;;;;57.885957;39.538916
189;763514;Тутаевский;;Муниципальное общеобразовательное учреждение Константиновская средняя школа Тутаевского муниципального района;152321, Ярославская обл., Тутаевский р-н, пос. Константиновский, ул. Садовая, д.8 ;Чепурна Елена Павловна;48533;79353;ksosh06@yandex.ru;http://76307s015.edusite.ru;13;80,6;100;7;48,7;100;13;4,7;100;1;43;100;1;36;100;1;57;100;;;;2;62,5;100;;;;4;77;100;11;64,3;100;1;93;100;;;;;;;57.830336;39.598034
190;764601;Тутаевский;1;Муниципальное общеобразовательное учреждение лицей № 1 Тутаевского муниципального района;152300, Ярославская обл., Тутаевский р-н, г. Тутаев, пр-т 50-летия Победы, д.23;Шинкевич Наталья Васильевна;48533;23666, 22818;liceym1@yandex.ru;http://liceym1.ru/;26;71,4;100;19;46,6;89,5;26;4,4;100;10;52,4;100;3;52,7;100;6;52;83,3;;;;4;73;100;3;51,7;100;4;38,5;100;15;55,5;80;2;88;100;;;;;;;57.865075;39.519737
191;764603;Тутаевский;3;Муниципальное общеобразовательное учреждение средняя школа № 3 Тутаевского муниципального района;152300, Ярославская обл., Тутаевский р-н, г. Тутаев, пр-т 50-летия Победы, д.32;Грачева Наталья Алексеевна;48533;20861, 20421;schol31@yandex.ru;http://www.shcool-3-tutaev.edusite.ru;23;76,1;100;14;41,3;92,9;23;4,4;100;1;56;100;1;63;100;2;71;100;;;;;;;3;48,3;100;6;52,7;100;14;59,9;92,9;4;62,3;100;;;;;;;57.86124;39.514958
192;764604;Тутаевский;4;"Муниципальное общеобразовательное учреждение средняя школа № 4 ""Центр образования"" Тутаевского муниципального района";152300, Ярославская обл., Тутаевский р-н, г. Тутаев, ул. Петра Шитова, д.63;Гаврилова Регина Николаевна;48533;22207;tmr-cosh-4@yandex.ru;http://sh4-tmr.edu.yar.ru;4;54;100;;;;4;3;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.87193;39.521848
193;764606;Тутаевский;6;Муниципальное общеобразовательное учреждение средняя школа № 6 Тутаевского муниципального района;152300, Ярославская обл., Тутаевский р-н, г. Тутаев, ул. Моторостроителей, д.54;Манокина Елена Викторовна;48533;70117;school-6@bk.ru;http://sh6-tmr.edu.yar.ru;41;80,5;100;26;49,7;96,2;41;4,6;100;6;56,7;100;8;58,6;100;12;63,3;100;;;;5;63,2;100;4;73,5;100;7;51,6;100;20;64;100;4;71,8;100;;;;;;;57.866851;39.514266
194;764607;Тутаевский;7;Муниципальное общеобразовательное учреждение средняя школа № 7 имени адмирала Ф.Ф.Ушакова Тутаевского муниципального района;152303, Ярославская обл., Тутаевский р-н, г. Тутаев, ул. Комсомольская, д.117 ;Сапегина Елена Анатольевна;48533;23022, 21024;school7tutaev@yandex.ru;http://sch7tut.edu.yar.ru;24;72,4;100;14;58,6;92,9;24;4,4;100;6;50,8;100;5;62,8;100;5;75;100;1;74;100;3;69,7;100;;;;2;47;100;8;60,9;87,5;;;;;;;;;;57.858085;39.503001
195;763527;Тутаевский;;Муниципальное общеобразовательное учреждение Фоминская средняя школа Тутаевского муниципального района;152309, Ярославская обл., Тутаевский р-н, пос. Фоминское, ул. Центральная, д.39;Мохова Лариса Николаевна;48533;40077;fomschool@yandex.ru;http://fom-tut.edu.yar.ru;8;72,4;100;3;62,3;100;8;4,5;100;1;71;100;3;56,3;100;3;73,3;100;;;;1;55;100;;;;2;76;100;3;57;66,7;;;;;;;;;;57.839147;39.580526
196;763528;Тутаевский;;Муниципальное общеобразовательное учреждение Чебаковская средняя школа Тутаевского муниципального района;152335, Ярославская обл., Тутаевский р-н, пос. Чебаково, ул. Школьная, д.5;Сухов Евгений Евгеньевич;48533;44660;chebsosh@mail.ru;http://cheb-tmr.edu.yar.ru;8;68,4;100;;;;8;4,6;100;;;;1;57;100;2;72,5;100;;;;;;;;;;1;63;100;6;58,2;100;;;;;;;;;;57.756919;39.532978
197;763529;Тутаевский;;Муниципальное общеобразовательное учреждение Ченцевская средняя школа Тутаевского муниципального района;152302, Ярославская обл., Тутаевский р-н, д. Ченцы, ул. Звездная, д.2;Копрова Елена Николаевна;48533;74285;tmrchency@mail.ru;http://www.76307s024.edusite.ru;1;70;100;1;23;0;1;5;100;;;;;;;1;40;100;;;;;;;;;;1;44;100;1;56;100;;;;;;;;;;57.868876;39.871607
198;764701;Угличский;1;"Муниципальное общеобразовательное учреждение ""Гимназия № 1"" ";152615, Ярославская обл., Угличский р-н, г. Углич, пл. Пушкина, д.8;Петрова Елена Леонидовна;48532;20955;gymnaziya1@mail.ru;http://76204s001.edusite.ru;18;72,6;100;15;41,2;73,3;18;4,3;100;;;;;;;2;49,5;100;;;;1;75;100;;;;7;53,9;100;15;64,5;100;2;74,5;100;3;73;100;;;;57.524958;38.313318
199;763617;Угличский;;Муниципальное общеобразовательное учреждение Василёвская средняя общеобразовательная школа;152636, Ярославская обл., Угличский р-н, с. Василёво, ул. Школьная, д.2;Иванова Ольга Юрьевна;48532;43448;vasilevo1866@mail.ru;http://76204s024.edusite.ru;1;65;100;;;;1;5;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.236963;38.58469
200;764745;Угличский;;Муниципальное общеобразовательное учреждение вечерняя (сменная) общеобразовательная школа;152610, Ярославская обл., Угличский р-н, г. Углич, мкр. Мирный, д.31;Родионова Ольга Васильевна;48532;57740;vecher-skola@yandex.ru;http://vshugl.edu.yar.ru ;4;56,8;100;;;;4;3,5;100;;;;;;;;;;;;;;;;;;;1;58;100;1;59;100;;;;;;;;;;57.538768;38.348316
201;763620;Угличский;;муниципальное общеобразовательное учреждение Головинская средняя общеобразовательная школа;152640, Ярославская обл., Угличский р-н, д. Головино;Гусева Татьяна Геннадьевна;48532;46260;golovino_skoola@mail.ru;http://76204s025.edusite.ru;2;73;100;;;;2;4,5;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.492932;38.158484
202;763623;Угличский;;Муниципальное общеобразовательное учреждение Заозерская средняя общеобразовательная школа;152638, Ярославская обл., Угличский р-н, с. Заозерье;Тушнева Любовь Алексеевна;48532;43782;zaozsh@yandex.ru;http://76204s023.edusite.ru;1;78;100;1;33;100;1;5;100;;;;;;;;;;;;;;;;;;;;;;1;47;100;;;;;;;;;;57.197648;38.244327
203;763624;Угличский;;Муниципальное общеобразовательное учреждение Ильинская средняя общеобразовательная школа;152630, Ярославская обл., Угличский р-н, с. Ильинское, ул. Центральная, д.14;Наумов Александр Алексеевич;48532;42463;school-ilyn@yandex.ru;http://76204s022.edusite.ru;5;75;100;5;58,6;100;5;5;100;3;38,7;66,7;;;;;;;;;;2;43;100;;;;;;;4;54,8;100;;;;;;;;;;57.323307;38.505323
204;763634;Угличский;;муниципальное общеобразовательное учреждение Отрадновская средняя общеобразовательная школа;152601, Ярославская обл., Угличский р-н, пос. Отрадный;Хорошулина Ирина Николаевна;48532;47198;otrshkola@mail.ru;http://76204s030.edusite.ru;6;62,7;100;4;28,8;50;6;3,7;100;;;;;;;1;54;100;;;;1;48;100;;;;;;;3;39,3;33,3;;;;;;;;;;57.579102;38.240509
205;764703;Угличский;3;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 3;152610, Ярославская обл., Угличский р-н, г. Углич, ул. Ярославская, д.47;Стрельцова Светлана Вячеславовна;48532;53061;Skool3@rambler.ru;http://uglich-school3.ucoz.ru;21;66,5;100;16;45,5;93,8;21;4,2;100;7;49,1;100;4;53,5;100;2;65,5;100;5;63,4;100;1;59;100;;;;1;48;100;5;56,2;100;;;;;;;;;;57.532748;38.331419
206;764704;Угличский;4;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 4;152610, Ярославская обл., Угличский р-н, г. Углич, Ярославское шоссе, д.10а;Маслова Алевтина Львовна;48532;56240, 50176;sosh4.uglich@mail.ru;http://76204s004.edusite.ru;32;67,4;100;22;36,1;72,7;32;4,1;100;7;47,9;100;6;49,8;66,7;8;52,1;100;2;53,5;100;2;66;100;1;66;100;5;52;100;14;54,9;100;3;46,3;100;;;;;;;57.534217;38.338021
207;764705;Угличский;5;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 5 имени 63-го Угличского пехотного полка;152612, Ярославская обл., Угличский р-н, г. Углич, Ленинское шоссе, д.1А;Пятницына Наталья Львовна;48532;21331;uglichsosh5@mail.ru;http://sch5-ugl.edu.yar.ru;31;71,1;100;28;46,2;92,9;31;4,6;100;10;42,8;90;7;53,9;85,7;10;50,1;90;;;;3;64,3;100;;;;;;;12;53,6;83,3;1;65;100;;;;;;;57.516118;38.315905
208;764707;Угличский;7;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 7;152613, Ярославская обл., Угличский р-н, г. Углич, ул. Старостина, д.12;Шашкова Татьяна Кузьминична;48532;54105, 53804;shcool72009@yandex.ru;http://76204s007.edusite.ru;17;70,5;100;13;58,6;100;10;4,6;100;4;50,5;100;1;41;100;3;46,3;100;;;;2;54;100;2;57,5;100;3;65,7;100;9;61,7;100;;;;;;;;;;57.543091;38.327951
209;764708;Угличский;8;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 8;152610, Ярославская обл., Угличский р-н, г. Углич, мкр. Мирный, д.31;Синильникова Юлия Андреевна;48532;54176, 56367;school812@yandex.ru;http://76204s008.edusite.ru;17;67;100;7;35,9;85,7;17;3,9;100;4;45,8;100;6;42,5;66,7;7;53,3;100;;;;;;;1;52;100;2;52,5;100;7;56,1;100;1;56;100;;;;;;;57.538768;38.348316
210;764709;Угличский;;муниципальное общеобразовательное учреждение Угличский физико-математический лицей;152613, Ярославская обл., Угличский р-н, г. Углич, ул. Северная, д.4;Мусинов Валерий Сергеевич;48532;51649;fml.uglich@mail.ru;http://76204s009.edusite.ru;20;80,3;100;20;57,9;100;4;4,5;100;8;68;100;3;51;100;3;73;100;1;100;100;11;77,2;100;1;72;100;1;72;100;4;65,5;100;2;90,5;100;;;;;;;57.544728;38.325642
211;763644;Угличский;;Муниципальное общеобразовательное учреждение Юрьевская средняя общеобразовательная школа;152606, Ярославская обл., Угличский р-н, д. Вякирево;Пестерева Валентина Фёдоровна;48532;46760;school-yur@yandex.ru;http://76204s028.edusite.ru;2;76;100;1;78;100;1;5;100;;;;1;68;100;;;;;;;;;;;;;;;;1;76;100;;;;;;;;;;57.140997;38.287356
212;763706;Ярославский;;муниципальное образовательное учреждение Иванищевская средняя общеобразовательная школа;150532, Ярославская обл., Ярославский р-н, д. Иванищево, ул. Молодежная, д.12;Орехов Николай Геннадьевич;4852;435525;ivanischevo1@mail.ru;http://ivan-shyar.edu.yar.ru;4;74,5;100;4;62,5;100;4;4,8;100;1;55;100;1;48;100;3;58,3;100;;;;;;;;;;;;;4;58;100;;;;;;;;;;57.518298;39.528505
213;763727;Ярославский;;"муниципальное общеобразовательное учреждение ""Cредняя школа поселка Ярославка"" Ярославского муниципального района";150505, Ярославская обл., Ярославский р-н, пос. Ярославка, д.2-Г;Петрушова Наталия Александровна;4852;762242;yaroslavka-soh@yandex.ru;http://yaroslavka-school.edu.yar.ru;6;81;100;6;36,7;100;6;4,5;100;4;42,3;75;;;;;;;;;;1;53;100;;;;;;;5;52,6;80;;;;;;;;;;57.74239;39.835782
214;763704;Ярославский;;"муниципальное общеобразовательное учреждение ""Григорьевская средняя школа"" Ярославского муниципального района";150515, Ярославская обл., Ярославский р-н, д. Григорьевское, ул. Клубная, д.6 ;Смирнов Сергей Сергеевич;4852;767176;grig-school@mail.ru;http://grig-yar.edu.yar.ru;10;67,4;100;7;40,9;71,4;10;4,2;100;;;;1;43;100;1;71;100;;;;;;;2;63;100;3;46,3;100;9;51,4;100;;;;;;;;;;57.707681;40.002761
215;763705;Ярославский;;"муниципальное общеобразовательное учреждение ""Дубковская средняя школа"" Ярославского муниципального района";150545, Ярославская обл., Ярославский р-н, пос. Дубки, ул. Школьная, д.3;Сухова Надежда Николаевна;4852;942076;nadegda.suchova@mail.ru;http://76313s007.edusite.ru;8;74,9;100;7;36,9;85,7;8;4,4;100;;;;2;40;100;3;53,3;100;;;;;;;1;73;100;1;43;100;8;51,9;100;1;42;100;;;;;;;57.526877;39.734632
216;763707;Ярославский;;"муниципальное общеобразовательное учреждение ""Ивняковская средняя школа"" Ярославского муниципального района";150507, Ярославская обл., Ярославский р-н, пос. Ивняки, ул. Луговая, д.1а;Кондратьев Сергей Николаевич;4852;424045;p3iwnyak@mail.ru;http://ivniak.edu.yar.ru;13;69;100;10;43,4;100;13;4,2;92,3;1;48;100;2;54;100;2;49;100;;;;2;55;100;;;;5;47,8;100;9;53;88,9;;;;;;;;;;57.617522;39.791612
217;763710;Ярославский;;"муниципальное общеобразовательное учреждение ""Карачихская средняя школа"" Ярославского муниципального района";150500, Ярославская обл., Ярославский р-н, пос. Карачиха;Тимофеев Николай Иванович;4852;436595;p3karach@mail.ru;http://karachihaschool.edu.yar.ru;6;70,2;100;5;46,6;80;6;4,8;100;1;80;100;1;48;100;2;35,5;50;;;;;;;;;;1;55;100;4;55;100;;;;;;;;;;57.644352;39.76919
218;763714;Ярославский;;"муниципальное общеобразовательное учреждение ""Красноткацкая средняя школа"" Ярославского муниципального района";150522, Ярославская обл., Ярославский р-н, д. Ноготино, д.2б;Мухина Мария Петровна;4852;438237;tkachi-school@mail.ru;http://tkachi-yar.edu.yar.ru;27;75,8;100;20;49,9;90;27;4,5;100;7;47,7;100;4;57,5;100;4;68,3;100;;;;5;73,2;100;;;;8;59,5;100;17;61,2;94,1;2;61,5;100;;;;;;;57.487558;39.739914
219;763715;Ярославский;;"муниципальное общеобразовательное учреждение ""Кузнечихинская средняя школа"" Ярославского муниципального района";150510, Ярославская обл., Ярославский р-н, д. Кузнечиха, ул. Центральная, д.34 ;Уваева Евгения Александровна;4852;761201;kuznetch@mail.ru;http://shkuzn-yar.edu.yar.ru;13;71,9;100;9;42,6;77,8;12;4,3;100;1;41;100;;;;1;58;100;;;;2;72,5;100;1;62;100;4;59,3;100;9;65,4;88,9;;;;;;;;;;57.706344;39.897173
220;763720;Ярославский;;"муниципальное общеобразовательное учреждение ""Михайловская средняя школа"" Ярославского муниципального района";150517, Ярославская обл., Ярославский р-н, пос. Михайловский, ул. Школьная, д.7;Скосырева Татьяна Александровна;4852;437450;mihletter2@mail.ru;http://mihlvs-shyar.edu.yar.ru;10;67,1;100;8;58,8;100;10;4,7;100;;;;1;68;100;2;67,5;100;;;;;;;;;;3;48;100;8;59,3;100;;;;;;;;;;57.78329;39.733446
221;763721;Ярославский;;"муниципальное общеобразовательное учреждение ""Мокеевская средняя школа"" Ярославского муниципального района";150527, Ярославская обл., Ярославский р-н, д. Мокеевское, д.33;Парамонова Елена Игоревна;4852;432245;moksh@yandex.ru;http://mokeevo.edu.yar.ru;8;68,8;100;6;49,3;100;8;4,6;100;2;45;100;2;62;100;;;;;;;;;;1;59;100;1;34;100;3;52,3;100;;;;;;;;;;57.485265;40.099698
222;763722;Ярославский;;"муниципальное общеобразовательное учреждение ""Мордвиновская средняя школа"" Ярославского муниципального района";150534, Ярославская обл., Ярославский р-н, д. Мордвиново, ул. Школьная, д.10;Резникова Надежда Григорьевна;4852;435216;p3mordv@mail.ru;http://mordvin.edu.yar.ru/;3;62;100;;;;3;4;100;;;;;;;3;36,7;66,7;;;;;;;;;;;;;3;51;66,7;;;;;;;;;;57.615555;39.445105
223;763725;Ярославский;;"муниципальное общеобразовательное учреждение ""Сарафоновская средняя школа"" Ярославского муниципального района";150508, Ярославская обл., Ярославский р-н, с. Сарафоново, д.55;Козловская Светлана Георгиевна;4852;432566;sarafonovo55@mail.ru;http://saraf-yar.edu.yar.ru ;4;81,5;100;3;39,3;66,7;4;4,3;100;;;;;;;1;30;0;;;;;;;;;;1;42;100;4;54;100;;;;;;;;;;57.663287;39.687848
224;763726;Ярославский;;"муниципальное общеобразовательное учреждение ""Спасская средняя школа"" Ярославского муниципального района";150542, Ярославская обл., Ярославский р-н, с. Спас-Виталий, д.6;Гартунг Марина Владимировна;4852;764121;spas-vitali@yandex.ru;http://spas-yar.edu.yar.ru;4;66,3;100;2;20,5;50;4;4;100;;;;;;;3;45;100;;;;;;;;;;;;;3;52,7;100;;;;;;;;;;57.798181;40.189862
225;763728;Ярославский;;"муниципальное общеобразовательное учреждение ""Средняя школа имени Ф.И. Толбухина"" Ярославского муниципального района";150512, Ярославская обл., Ярославский р-н, с. Толбухино, ул. Даниловская, д.6;Стецович Ольга Григорьевна;4852;764757;tolbuhino@mail.ru;http://tolb-yar.edu.yar.ru/;6;73,8;100;6;47,3;100;6;4,8;100;1;54;100;1;42;100;2;60;100;;;;;;;;;;1;55;100;3;53,7;100;;;;;;;;;;57.853196;40.049743
226;763729;Ярославский;;"муниципальное общеобразовательное учреждение ""Туношенская средняя школа имени Героя России Селезнева А.А."" Ярославского муниципального района";150501, Ярославская обл., Ярославский р-н, с. Туношна, ул. Школьная, д.6;Балкова Светлана Евгеньевна;4852;433912;tunsh_sh@mail.ru;http://tunsh.edu.yar.ru;10;77,3;100;5;64,4;100;10;4,9;100;1;69;100;;;;2;63;100;1;61;100;1;77;100;1;47;100;3;50,3;100;8;59,1;100;2;51,5;100;;;;;;;57.54369;40.125938
227;761301;г.Переславль-Залесский;;"НОУ СОШ ""Переславская православная гимназия"" им. св. блгв. вел. кн. А. Невского""";Ярославская обл., Переславль-Залесский, ул. Менделеева, 10;;;;;;4;68,5;100;2;53,5;100;4;4,3;100;1;55;100;1;41;100;1;64;100;1;64;100;;;;2;64;100;2;71,5;100;1;67;100;1;38;100;;;;;;;56.755778;38.869465
228;761312;г.Ростов;;"НОУ ""Православная классическая Гимназия- пансион""";152120, Ярославская область, город Ростов Великий, поселок Варницы;;;;;;17;74,5;100;7;62,9;100;17;4,4;100;3;69,7;100;;;;2;61,5;100;2;54,5;100;;;;;;;8;54,6;100;7;60,3;100;2;44,5;100;;;;;;;57.200467;39.375432
229;761335;Переславский;;"НОУ СОШ ""Добрая школа на Сольбе""";152030, Переславский район, м.Сольба, ул. Центральная, д. 15;;;;;;4;75,3;100;1;45;100;4;4;100;;;;;;;;;;;;;;;;1;78;100;;;;2;69;100;;;;;;;;;;56.99923;38.418726
230;761309;г.Ярославль;;"НОУ"" Ярославская Губернская Гимназия имени святителя Игнатия Брянчанинова""";150000, г. Ярославль, ул. Трефолева, д. 20-а;;;;;;8;76,9;100;4;48,3;75;5;3,8;100;1;58;100;;;;1;44;100;;;;;;;1;69;100;1;78;100;5;61,4;100;;;;;;;;;;57.627537;39.886555
231;761323;г.Ярославский;;НОУ лицей МУБИНТ;г. Ярославль, ул. Советская, 80;;;;;;12;60,8;100;4;49;100;8;3,5;100;3;29,3;33,3;;;;;;;;;;;;;2;52,5;100;1;61;100;7;49,4;57,1;1;71;100;;;;;;;57.642907;39.875479
232;761311;г.Ростов;;"НОУ ""Гимназия им. преподобного Сергия Радонежского""";152120 Ярославская обл., г. Ростов Великий, п. Варницы;;;;;;31;75;100;4;62,8;100;31;4,3;100;3;62;100;;;;;;;;;;;;;;;;30;56,9;93,3;4;64,5;100;;;;;;;;;;57.200467;39.375432
233;761315;г.Тутаев;;ЧОУ Православная школа имени святого праведного Иоанна Кронштадтского;152300, Ярославская область, г. Тутаев, ул. Луначарского, д.40-а;;;;;;6;79,7;100;5;36,6;80;6;4,2;100;2;43,5;50;1;59;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.870796;39.53173
