Number;Name;Address;INN;OGRN;Registration number;Requisites;Date of decision;Expiry date;Education levels;Date order for renewal;Number order for renewal;Order the suspension of date;Order the suspension of number;Order the resumption date;Order the resumption number;Order date of the withdrawal ;Order number of the withdrawal ;Order date of the termination;Order number of the termination;Latitude;Longitude
472;муниципальное бюджетное  общеобразовательное учреждение Вятская средняя общеобразовательная школа ;152286, Российская Федерация, Ярославская область, Некрасовский район, с. Вятское, ул. Давыдковская, д.25;7621001994;1027601600773;26/17;76А01 № 0000500;11.03.2013;11.03.2025;Начальное общее образование, основное общее образование, среднее общее образование ;24.01.2017;36/05-03;;;;;;;;;57.863888;40.259185
473;"муниципальное общеобразовательное учреждение ""Лицей № 86""";150023, город Ярославль, улица Зелинского, дом 6;7605014844;1027600790337;126/15;76А01 № 0000190;26.04.2012;26.04.2024;Основное общее образование, среднее общее образование ;16.09.2015;432/05-03;;;;;;;;;57.581515;39.839429
474;муниципальное общеобразовательное  учреждение Вареговская средняя общеобразовательная школа ;152385, Россия, Ярославская область, Большесельский район, с. Варегово, ул. Школьная, д.1;7613003532;1027601275140;174/16;76А01 № 0000421;26.04.2012;26.04.2024;Начальное общее образование, основное общее образование, среднее общее образование ;08.11.2016;792/05-03;;;;;;;;;57.772536;39.283417
475;"муниципальное общеобразовательное учреждение ""Средняя школа № 59"" ";150062, город  Ярославль, улица  Серго Орджоникидзе, дом 35а;7603016317;1027600622334;127/15;76А01 № 0000191;26.04.2012;26.04.2024;Начальное общее образование, основное общее образование, среднее общее образование ;30.09.2015;454/05-03;;;;;;;;;57.652809;39.955438
476;государственное образовательное учреждение среднего профессионального образования Ярославской области Ростов-Ярославский сельскохозяйственный  техникум;Российская Федерация, Ярославская область, г. Ростов, ул. Октябрьская, д.45;7609004741;1027601072872;86/13;76А01 № 0000121;30.04.2013;30.04.2019;"укрупненные группы направлений подготовки: СФЕРА ОБСЛУЖИВАНИЯ; СЕЛЬСКОЕ И РЫБНОЕ ХОЗЯЙТВО; АРХИТЕКТУРА И СТРОИТЕЛЬСТВО ";;;;;;;;;;;57.181261;39.395967
477;государственное профессиональное образовательное учреждение Ярославской области Ярославский колледж управления и профессиональных технологий ;Российская Федерация, г. Ярославль, Тутаевское шоссе, д. 31а;7602012246;1027600521190;123/15;76А01 № 0000058;30.12.2013;30.12.2019;"Среднее профессиональное образование по программам подготовки  квалифицированных рабочих (служащих):  38.00.00  Экономика и управление, 39.00.00 Социология и социальная работа; 43.00.00 Сервис и туризм; 54.00.00 Изобразительное и  прикладные виды искусств. Среднее профессиональное образование по программам подготовки  специалистов среднего звена: 09.00.00 Информатика и вычислительная техника; 15.00.00 Машиностроение;  22.00.00 Технологии материалов; 29.00.00 Технологии легкой промышленности; 38.00.00  Экономика и управление;  40.00.00 Юриспруденция;  42.00.00  Средства  массовой информации и информационно-библиотечное дело; 43.00.00 Сервис и туризм;  46.00.00  История и  археология";"31.08.2015; 30.10.2015; 06.04.2017";"407/05-03/; 515/05-03; 111/05-03";;;;;;;;;57.683544;39.81743
478;Муниципальное  общеобразовательное учреждение Ординская основная общеобразовательная школа ;Российская Федерация, Ярославская область, Угличский район, д. Воронцово ;7612008376;1027601304785;18/17;76А01 № 0000491;11.03.2013;11.03.2025;Начальное общее образование, основное общее образование;16.01.2017;23.05.2003;;;;;;;;;57.606877;37.936429
479;муниципальное образовательное учреждение средняя общеобразовательная школа №31 ;150046, г. Ярославль, ул. Нефтяников, д. 26 ;7605016513;1027600788577;02.12.1930;ОП 024247;26.04.2012;26.04.2024;Основные общеобразовательные программы начального общего образования, основного общего образования, среднего (полного) общего образования ;;;;;;;;;;;57.583923;39.828443
480;муниципальное  общеобразовательное учреждение средняя общеобразовательная школа № 6 имени Л.И. Ошанина;Российская Федерация, 152915 Ярославская  область, город Рыбинск, улица Ошанина, дом 14 ;7610031193;1027601116696;31/16;76А01 № 0000286;22.05.2012;22.05.2024;Начальное общее образование, основное общее образование, среднее общее образование ;15.02.2016;129/05-03;;;;;;;;;58.019885;38.854894
481;"Негосударственное образовательное учреждение ""Переславская  православная гимназия"" имени святого благоверного великого князя Александра Невского ";152025, Российская Федерация, Ярославская область, г. Переславль-Залесский, улица Менделеева, дом 10;7608001787;1037601200724;92/13;76А01 № 0000127;22.05.2012;22.05.2024;Основные общеобразовательные программы начального общего образования, основного общего образования, среднего (полного) общего образования ;21.05.2013;325/05-03;;;;;;;;;56.755778;38.869465
482;Муниципальное общеобразовательное учреждение Скнятиновская основная общеобразовательная школа ;Ярославская область, Ростовский район, село Скнятиново, дом 132 ;7609014362;1027601069099;167/16;76А01 № 0000414;22.05.2012;22.05.2024;Начальное общее образование, основное общее образование;25.10.2016;752/05-03;;;;;;;;;57.081754;39.334001
483;"муниципальное общеобразовательное учреждение ""Средняя школа № 4"" ";Россия, Ярославская область, город Переславль-Залесский, ул. Октябрьская, д.41;7608009070;1027601050487;212/16;76А01 № 0000459;22.05.2012;22.05.2024;Начальное общее образование, основное общее образование, среднее общее образование;15.12.2016;951/05-03;;;;;;;;;56.748607;38.882993
484;государственное профессиональное образовательное учреждение Ярославской области Рыбинский лесотехнический колледж ;Российская Федерация, Ярославская область, Рыбинский  район, поселок Тихменево, ул. Тургенева, д.11;7610015321;1027601123252;173/15;76А01№ 0000069;19.02.2013;19.02.2019;"Среднее профессиональное образование по программам подготовки специалистов среднего звена : 21.00.00 Прикладная геология, горное дело,  нефтегазовое дело и геодезия; 35.00.00 Сельское, лесное и  рыбное хозяйство";18.12.2015; 695/05-03;;;;;;;;;57.998724;38.620416
485;Муниципальное  общеобразовательное учреждение Парфеньевская основная  общеобразовательная  школа ;Российская Федерация, 152735, Ярославская область, Некоузский район, с. Парфеньево, дом № 45 ;7620003815;1027601493061;16/17;76А01 № 0000489;22.05.2012;22.05.2024;Начальное общее образование, основное общее образование;13.01.2017;20.05.2003;;;;;;;;;57.993801;37.720492
486;Муниципальное общеобразовательное учреждение Прозоровская средняя общеобразовательная школа ;152766, Российская Федерация, Ярославская область, Брейтовский район, с.Прозорово, ул. Школьная, д. 37 ;7615002446;1027601492170;151/16;76А91 № 0000398;22.05.2012;22.05.2024;Начальное общее образование, основное общее образование, среднее общее образование ;20.07.2016;601/05-03;;;;;;;;;58.385525;37.648735
487;"муниципальное общеобразовательное учреждение ""Туношёнская средняя школа имени Героя России Селезнёва А.А."" Ярославского муниципального района  ";150501, Российская Федерация, Ярославская область, Ярославский район, с. Туношна, ул. Школьная, д.6 ;7627013749;1027601603028;88/16;76А01 № 0000338;22.05.2012;22.05.2024;Начальное общее образование, основное общее образование, среднее  общее  образование ;04.04.2016;337/05-03;;;;;;;;;57.54369;40.125938
488;государственное  образовательное учреждение начального профессионального образования Ярославской области профессиональное училище № 20 ;Российская Федерация, 152900, Ярославская область, г. Рыбинск, ул.Луговая, д. 15;7610027670;1027601107093;90/13;76А01 № 0000125;30.04.2013;30.04.2019;"основная  общеобразовательная программа основного  общего образования; укрупненные группы: ЭКОНОМИКА И УПРАВЛЕНИЕ; СФЕРА ОБСЛУЖИВАНИЯ; ТЕХНОЛОГИЯ ПРОДОВОЛЬСТВЕННЫХ ПРОДУКТОВ И ПОТРЕБИТЕЛЬСКИХ ТОВАРОВ ";;;;;;;;;;;58.037951;38.870084
489;государственное профессиональное образовательное автономное  учреждение Ярославской области Рыбинский промышленно-экономический колледж ;Российская Федерация, 152925, Ярославская обл., г. Рыбинск, ул. 9 Мая, д.24  ;7610027711;1027601116465;92/15;76А01 № 0000044;22.06.2012;22.06.2018;"Среднее профессиональное  образование по программам  подготовки квалифицированных рабочих (служащих):  13.00.00 Электро- и  теплоэнергетика; 15.00.00 Машиностроение;  19.00.00 Промышленная экология и  биотехнологии;  38.00.00 Экономика и управление;  43.00.00 Сервис  и туризм; 54.00.00 Изобразительное и прикладные виды искусств; среднее профессиональное образование по программам  подготовки специалистов среднего звена:  19.00.00  Промышленная экология и  биотехнологии ; 23.00.00 Техника и технологии наземного транспорта;  38.00.00 Экономика и управление;  43.00.00 Сервис и туризм;  54.00.00 Изобразительное и прикладные виды искусств; ";"11.06.2013; 25.06.2013; 30.12.2013; 23.03.2015; 22.05.2015; 05.11.2015; 28.12.2015; ";"423/05-03; 460/05-03; 734/05-03; 108/05-03; 198/05-03; 540/05-03;  744/05-03";;;;;;;;;58.05115;38.783406
490;государственное  профессиональное образовательное учреждение Ярославской области Переславский колледж им. А. Невского;Российская Федерация, 152020, Ярославская область, г.  Переславль-Залесский, посёлок Красный Химик, д. 1;7608000053;1027601054909;31/17;76А01 № 0000091;22.05.2012;22.05.2018;"Среднее профессиональное образование  по  программам подготовки специалистов среднего звена: 10.00.00  Информатика и вычислительная техника;  15.00.00 Машиностроение;  20.00.00 Техносферная безопасность и природообустройство; 23.00.00 Техника и технологии наземного транспорта;  38.00.00 Экономика и управление; 40.00.00 Юриспруденция;  43.00.00 Сервис и туризм;  54.00.00 Изобразительное и прикладные виды искусств;                 Среднее профессиональное образование  по  программам подготовки квалифицированных рабочих (служащих): 09.00.00 Информатика и вычислительная техника; 15.00.00 Машиностроение; 19.00.00 Промышленная экология и биотехнологии; 23.00.00 Техника и технологии наземного транспорта; 29.00.00 Технологии легкой промышленности; 43.00.00 Сервис и туризм; 46.00.00 История и археология";"13.05.2015; 25.01.2016; 28.03.2017";"183/05-03; 37/05-03; 93/05-03";;;;;;;;;56.74683;38.865674
491;муниципальное  общеобразовательное учреждение Угличский физико-математический лицей ;Российская Федерация, Ярославская область, г. Углич, ул. Северная, д. 4 ;7612029200;1027601306259;172/16;76А01 № 0000419;22.05.2012;22.05.2024;основное общее образование, среднее общее образование ;03.11.2016;783/05-03;;;;;;;;;57.544733;38.325615
;государственное  профессиональное образовательное учреждение Ярославской  области  Переславский техникум сферы услуг ;Российская Федерация, 152025 Ярославская  область, г. Переславль-Залесский, ул. Строителей, д. 33;7608002519;1027601052027;116/15;76А01 № 0000052;22.05.2012;22.05.2018;"Среднее  профессиональное образование по программам подготовки квалифицированных рабочих (служащих): 09.00.00  Информатика и вычислительная техника;  19.00.00  Промышленная экология и биотехнологии; 29.00.00  Технологии легкой промышленности;  43.00.00 Сервис и туризм; ";"25.06.2013;  07.08.2015; 18.11.2015";"451/05-03; 366/05-03; 562/05-03";;;;;;;;;56.750048;38.878178
492;государственное  профессиональное образовательное учреждение Ярославской  области  Переславский техникум сферы услуг ;Российская Федерация, 152025 Ярославская  область, г. Переславль-Залесский, ул. Строителей, д. 33;7608002519;1027601052027;115/15;76А01 № 0000185;22.05.2012;22.05.2018;Основное  общее образование ;"25.06.2013;  07.08.2015";"451/05-03; 366/05-03";;;;;;;;;56.750048;38.878178
493;"муниципальное  общеобразовательное бюджетное учреждение ""Шопшинская  средняя школа""";Россия, 152252, Ярославская область, Гаврилов-Ямский район, Шопшинский сельский округ, с. Шопша, ул. Центральная д. 5 ;7616005320;1027601069517;155/16; 76А01 № 0000402; 22.05.2012;22.05.2024;Начальное общее образование, основное общее образование, среднее общее образование ;25.08.2016;644/05-03;;;;;;;;;57.423281;39.641602
494;муниципальное  общеобразовательное учреждение Краснооктябрьская средняя общеобразовательная школа ;152191, Российская Федерация, Ярославская  область,  Борисоглебский район, п. Красный Октябрь, ул. Первомайская, д. 1 ;7614003430;1027601072168;161/16;76А01 № 0000408;22.05.2012;22.05.2024;Начальное общее образование, основное общее образование, среднее общее образование ;21.10.2016;735/05-03;;;;;;;;;57.325013;39.012566
495;муниципальное общеобразовательное учреждение Отрадновская  средняя общеобразовательная школа ;Российская Федерация, Ярославская область, Угличский район, пос. Отрадный ;7612008400;1027601307150;23/17;76А01 № 0000496;28.05.2012; 28.05.2024;Начальное общее образование, основное общее образование, среднее общее образование ;18.01.2017;29.05.2003;;;;;;;;;57.57903;38.240482
496;муниципальное  бюджетное общеобразовательное учреждение средняя школа № 1 г.Данилова Ярославской области ;152070, Российская Федерация, Ярославская  область, г. Данилов, пл. Советская, д. 4 ;7617005724;1027601457531;51/16;76А01 № 0000301;11.03.2013;11.03.2025;Начальное общее образование, основное общее образование, среднее  общее образование ;26.02.2016;189/05-03; ;;;;;;;;58.189289;40.174923
497;"государственное общеобразовательное учреждение Ярославской области ""Переславль-Залесская школа-интернат № 4"" ";Российская Федерация, Ярославская область, г. Переславль-Залесский, ул. Свободы, 61;7608009169;1027601050971;110/15;76А01 № 0000181;28.05.2012;28.05.2024;Начальное  общее образование, основное общее образование ;30.06.2015;269/05-03;;;;;;;;;56.740853;38.870722
498;муниципальное  общеобразовательное учреждение Глебовская средняя общеобразовательная школа ;Российская Федерация, 152971, Ярославская область, Рыбинский район, Глебовский сельский округ, село Глебово, улица Школьная,  дом 13;7610029229;1027601118698;авг.17;76А01 № 0000481;22.03.2011;22.03.2023;Начальное общее образование, основное общее образование, среднее  общее образование ;22.05.2012 10.01.2017;344/05-03 10/05-03;;;;;;;;;58.00809;38.444561
499;муниципальное общеобразовательное учреждение Ивановская средняя общеобразовательная школа ;Ярославская область, Борисоглебский район, село Ивановское, дом 23;7614003461;1027601073521;146/16; 76А01 №  0000393;22.05.2012;22.05.2024;Начальное общее образование, основное общее образование,  среднее общее образование ;30.06.2016;575/05-03;;;;;;;;;57.309814;38.932652
501;муниципальное общеобразовательное учреждение Вахрушевская основная общеобразовательная школа ;"152108, Ярославская область, Ростовский район, д. Вахрушево, квартал ""В"", д. 2";7609013954;1027601070166;221/16;76А01 № 0000468;30.04.2013;30.04.2025;Начальное  общее образование,  основное общее  образование ;21.04.2014 21.12.2016;182/05-03 978/05-03;;;;;;;;;57.303353;39.585593
502;"государственное общеобразовательное учреждение Ярославской облати""Центр помощи детям""";Российская Федерация, 150040, г. Ярославль, ул. Некрасова, д. 58;7606018785;1027600854357;36/16;76А01 № 0000290;28.05.2012;28.05.2024;Начальное общее  образование, основное общее образование среднее общее образование ;16.06.2016;134/05-03;;;;;;;;;57.633498;39.868194
503;муниципальное образовательное учреждение средняя общеобразовательная школа № 79;г. Ярославль, ул. Школьный проезд, 13;7603021081;1027600621784;02.12.1967;ОП 024284;22.05.2012;22.05.2024;основные общеобразовательные программы начального общего образования, начального  общего образования специальных (коррекционных) образовательных учреждений для обучающихся с ограниченными возможностями здоровья (VII вид),  основного общего образования, основного общего образования специальных (коррекционных) образовательных учреждений для обучающихся с ограниченными возможностями здоровья (VII вид), среднего (полного) общего образования;;;;;;;;;;;57.64951;39.959417
504;Муниципальное общеобразовательное учреждение Ишненская средняя общеобразовательная школа;п. Ишня, Ростовского муниципального района, Ярославской области, ул. Школьная, д.4;7609013922;1027601068846;19/17;76А01;22.05.2012;22.05.2024;Начальное общее  образование, основное общее образование среднее общее образование ;16.01.2017;24.05.2003;;;;;;;;;57.191206;39.355543
505;"муниципальное общеобразовательное учреждение ""Средняя школа № 3 имени Олега Васильевича Изотова""";150043, город Ярославль, улица Жукова, дом 7а;7606028053;1027600845711;30/17;76А01 № 0000504;22.05.2012;22.05.2024;Начальное общее  образование, основное общее образование среднее общее образование ;13.03.2017;74/05-03;;;;;;;;;57.641057;39.829764
506;"муниципальное  общеобразовательное учреждение ""Вышеславская основная   школа"" ";Российская Федерация, 152244, Ярославская область, Гаврилов-Ямский район, Заячье-Холмский сельский округ, деревня Прошенино, улица  Школьная, дом 29;7616005104;1027601069737;мар.16;76А01 № 0000264;22.05.2012;22.05.2024;основные общеобразовательные программы начального общего образования, основного  общего образования ;13.01.2016;17.05.2003;;;;;;;;;57.376451;39.992224
507;"муниципальное  общеобразовательное учреждение           "" Открытая (сменная) школа № 96""";150002, город  Ярославль, улица Стачек, дом № 57;7605014192;1027600791173;131/15;76А01 № 0000194;22.05.2012;22.05.2024;основное общее образование, среднее общее образование ;"29.11.2012; 27.10.2015";"№ 683/05-03; 506/05-03";;;;;;;;;57.609601;39.831938
508;муниципальное образовательное учреждение для детей дошкольного и младшего школьного возраста  начальная школа-детский сад №1;152616, Ярославская  область, г. Углич, м-н Цветочный, д. 11;7612005350;1027601305929;02.12.1971;ОП 024288;22.05.2012;22.05.2024;основная общеобразовательная программа начального общего образования ;;;;;;;;;;;57.502856;38.295378
509;государственное   профессиональное образовательное  автономное учреждение Ярославской области  Ярославский промышленно-экономический колледж ;Российская Федерация,  150023, г. Ярославль, ул. Гагарина, д. 8 ;7605005840;1027600793252; 114/15;76А01 № 0000051;12.03.2015;12.03.2021;"Среднее профессиональное образование по программам подготовки специалистов среднего звена: 09.00.00 Информатика и  вычислительная техника;  15.00.00  Машиностроение;  18.00.00 Химические технологии; 19.00.00  Промышленная экология и биотехнология; 38.00.00  Экономика и управление; 40.00.00 Юриспруденция ";"20.07.2015;  05.11.2015";"308/05-03; 539/05-03";;;;;;;;;57.590696;39.846948
510;государственое  образовательное  учреждение  среднего профессионального образования Ярославской  области  Угличский механико-технологический техникум ;Российская Федерация, Ярославская обл.,  г. Углич, ул. Северная, д. 1;7612008344;1027601304950;02-12-111;76А01 № 0000027;31.10.2012;31.10.2018;укрупненные группы направлений подготовки и  специальностей профессионального образования: ЭКОНОМИКА И УПРАВЛЕНИЕ, СФЕРА ОБСЛУЖИВАНИЯ, МЕТАЛЛУРГИЯ, МАШИНОСТРОЕНИЕ И МАТЕРИАЛООБРАБОТКА, ТЕХНОЛОГИЯ ПРОДОВОЛЬСТВЕННЫХ ПРОДУКТОВ И ПОТРЕБИТЕЛЬСКИХ ТОВАРОВ;;;;;;;;;;;57.545409;38.323729
511;Муниципальное общеобразовательное учреждение Заозерская средняя общеобразовательная школа ;152638 Ярославская область, Угличский муниципальный район, с. Заозерье;7612008520;1027601304719;69/14;76 № 01 № 0000010;21.04.2014;29.12.2024;начальное  общее образование,  основное общее  образование, среднее общее образование ;;;;;;;;;;;57.197648;38.244327
512;"муниципальное общеобразовательное учреждение ""Средняя школа № 42 им. Н.П. Гусева с углубленным изучением французского языка ";150014, город  Ярославль, улица Салтыкова-Щедрина, д. 42а;7604040915;1027600678115;175/15;76А01 № 0000231;29.12.2012;29.12.2024;Начальное общее образование, основное общее образование, среднее  общее образование ;22.12.2015;714/05-03;;;;;;;;;57.624077;39.863864
513;"муниципальное общеобразовательное учреждение  ""Средняя школа № 25  имени Александра Сивагина""";150054, город  Ярославль, ул. Угличская, дом 27;7604041147;1027600683770;81/16;76А01 № 0000331;29.12.2012;29.12.2024;Начальное  общее образование, основное общее образование, среднее  общее образование ;29.03.2016;317/05-03;;;;;;;;;57.629291;39.843175
514;"муниципальное общеобразовательное  учреждение ""Средняя школа №72""";150042, город Ярославль, улица Елены Колесовой, дом 26;7602022460;1027600511003;148/16;76А01 № 0000395;29.12.2012;29.12.2024;Начальное общее образование,  основное общее образование, среднее общее образование  ;12.05.2014 11.07.2016;                      228/05-03 586/05-03;;;;;;;;;57.682269;39.807108
515;"муниципальное общеобразовательное учреждение ""Основная школа № 41""";150036, город Ярославль, улица Колышкина, дом 46;7603021229;1027600621730;фев.17;76А01 № 0000475;29.12.2012;29.12.2024;Начальное общее образование,  основное общее образование;04.12.2013 09.01.2017;685/05-03 4/05-03;;;;;;;;;57.754009;39.805689
516;"муниципальное общеобразовательное учреждение ""Средняя школа № 5 им. О.А. Варенцовой"" ";150060 город Ярославль, улица  Туманова, дом 10 в;7602021628;1027600513500;146/15;76А01 № 0000205;29.12.2012;29.12.2024;Начальное общее образование, основное общее образование, среднее общее образование ;25.11.2015;594/05-03;;;;;;;;;57.690578;39.767582
517;"муниципальное общеобразовательное учреждение ""Средняя школа № 23""";150006, город  Ярославль, улица  Светлая, дом 36;7607014543;1027600984400;171/15;76А01 № 0000227;29.12.2012;29.12.2024;Начальное общее образование, основное общее образование, среднее общее образование ;17.12.2015;690/05-03;;;;;;;;;57.56958;39.929288
518;муниципальное  общеобразовательное учреждение средняя общеобразовательная школа №7 ;Российская Федерация, Ярославская область, город Углич, улица Старостина, дом 12;7612008665;1027601309570;июн.17;76А01 № 0000479;08.02.2013;08.02.2025;Начальное общее образование, основное общее образование, среднее общее образование ;10.01.2017;08.05.2003;;;;;;;;;57.543091;38.327951
519;"муниципальное  общеобразовательное учреждение  ""Гимназия № 3""";150051, город Ярославль,  улица  Саукова,  дом 5 ;7603000290;1027600622730;19/16;76А01 № 0000275;29.12.2012;29.12.2024;Основное общее образование, среднее общее образование ;09.02.2016;84/05-03;;;;;;;;;57.644679;39.945754
520;муниципальное  общеобразовательное  учреждение Любимская основная  общеобразовательная школа имени Вадима Юрьевича Орлова;Российская Федерация, 152470, Ярославская область, г. Любим, ул. Набережная реки Обноры, д. 14/62;7618002130;1027601457212;169/16;76А01 № 0000416;29.12.2012;29.12.2024;Начальное общее образование, основное общее образование;02.11.2016;778/05-03;;;;;;;;;58.363435;40.693988
521;"муниципальное общеобразовательное учреждение ""Основная школа № 73""";150010, город  Ярославль,  переулок  Индустриальный, дом  10 ;7607014568;1027600983024;174/15;76А01 № 0000230;29.12.2012;29.12.2024;Начальное общее образование, основное общее образование ;22.12.2015;713/05-03;;;;;;;;;57.550302;39.937058
522;муниципальное общеобразовательное учреждение Любимская вечерняя (сменная) общеобразовательная школа ;Российская Федерация, 152470, Ярославская область, г. Любим, ул. Даниловская, д. 66;7618002483;1027601459050;204/16;76А01 № 0000451;19.02.2013;19.02.2025;Основное общее образование, среднее общее образование ;08.12.2016;926/05-03;;;;;;;;;58.357052;40.696108
523;муниципальное общеобразовательное учреждение  Березниковская основная общеобразовательная школа ;152183 Российская Федерация, Ярославская область, Борисоглебский  район,  д. Березники, ул. Центральная, д. 46;7614003486;1027601072058;203/16;76А01 № 0000450;19.02.2013;19.02.2025;Начальное общее образование, основное общее образование;07.12.2016;923/05-03;;;;;;;;;57.157334;38.900214
524;муниципальное общеобразовательное учреждение Покров-Кулижская  основная общеобразовательная школа ;Российская Федерация,  152473, Ярославская область, Любимский район, село Покров, улица Школьная, дом 3;7618002148;1027601457652;дек.13;76А01 № 0000053;19.02.2013;19.02.2025;Основные  общеобразовательные  пограммы начального общего образования,  основного общего образования                              ;;;;;;;;;;;58.46354;40.864758
525;"муниципальное  общеобразовательное учреждение ""Средняя  школа № 6"" ";Россия, город   Переславль-Залесский,  ул. Менделеева, д. 10 ;7608009112;1027601050982;54/16;76А01 № 0000304;19.02.2013;19.02.2025;Начальное общее образование, основное общее образование, среднее общее образование ;"30.12.2013;  26.02.2016";"731/05-03; 192/05-03";;;;;;;;;56.755778;38.869465
526;Частное общеобразовательное  учреждение Православная школа имени св. прав. Иоанна Кронштадтского  ;Российская Федерация, 152300, Ярославская  область, г. Тутаев, ул. Дементьева, д. 24 ;7611008239;1027601274997;35/14;76А01 № 0000245;19.02.2013;19.02.2025;Начальное общее образование, основное общее образование, среднее общее образование ;11.03.2014;114/05-03;;;;;;;;;57.866133;39.521129
527;Муниципальное  образовательное учреждение Брейтовская средняя  общеобразовательная школа ;Российская Федерация, Ярославская область, Брейтовский район, с. Брейтово, ул. Республиканская, д. 54 ;7615001308;1027601492489;45/13;76А01 № 0000083;30.04.2013;30.04.2025;Основные общеобразовательные программы начального общего образования, начального общего образования  специальных (коррекционных)  образовательных учреждений для обучающихся с ограниченными возможностями  здоровья  (VII вид), основного  общего образования,   основного общего образования  специальных (коррекционных)  образовательных учреждений для обучающихся с ограниченными возможностями  здоровья  (VII вид), среднего (полного) общего образования ;;;;;;;;;;;58.292203;37.85912
528;муниципальное общеобразовательное учреждение Высоковская средняя общеобразовптельная школа ;152194, Российская Федерация, Ярославская область, Борисоглебский район, с.Высоково, ул. Липовая, д. 4 ;7614003479;1027601071068;175/16;76А01 № 0000422;30.04.2013;30.04.2025;Начальное общее образование, основное общее образование, среднее общее образование ;08.11.2016;793/05-03;;;;;;;;;57.240904;38.748515
529;муниципальное  бюджетное общеобразовательное учреждение Колодинская средняя школа ;Россия, 152885, Ярославская область, Пошехонский муниципальный район, с. Колодино, ул. Центральная, д. 26 ;7624003189;1027601118104;106/15;76А01 № 0000178;30.04.2013;30.04.2025;Начальное общее образование, основное общее образование, среднее общее  образование ;"08.07.2014; 17.06.2015";"295/05-03; 241/05-03";;;;;;;;;58.787498;39.167103
530;"муниципальное  общеобразовательное учреждение ""Курбская средняя  школа"" Ярославского муниципального района  ";150533, Российская Федерация, Ярославская область, Ярославский район, с. Курба, ул. Школьная, д. 1 ;7627013890;1027601603039;166/14;76А01 № 0000092;30.04.2013;30.04.2025;Начальное общее образование, основное общее образование,  среднее общее образование ;30.12.2014;494/05-03;;;;;;;;;57.562354;39.490919
531;"муниципальное общеобразовательное учреждение ""Пестрецовская основная  школа"" Ярославского муниципального района ";150504, Российская Федерация, Ярославская область, Ярославский район, д. Пестрецово, д.8б;7627017623;1027601605690;165/15;76А01 № 0000222;30.04.2013;30.04.2025;Начальное  общее образование, основное общее образование ;14.12.2015;665/05-03;;;;;;;;;57.659507;40.068015
532;Муниципальное общеобразовательное учреждение Столбищенская основная  школа  Тутаевского муниципального района ;152325, Российская Федерация,  Ярославская область, Тутаевский район, деревня Столбищи, улица Центральная, дом  6;7611008430;1027601273523;168/15;76А01 № 0000224;30.04.2013;30.04.2025;Начальное общее образование, основное общее образование ;16.12.2015;686/05-03;;;;;;;;;57.88833;39.28905
533;"муниципальное обще образовательное учреждение ""Средняя школа № 81""";150042, город  Ярославль, улица  Блюхера, д.32а;7602022036;1027600512610;65/16;76А01 № 0000316;30.04.13.;30.04.2025;Начальное общее образование, основное общее образование, среднее общее образование ;16.03.2016;261/05-03;;;;;;;;;57.68506;39.810989
534;"муниципальное общеобразовательное учреждение ""Средняя школа  № 51"" ";150008,  город Ярославль, улица Клубная, дом 62;7603019660;1027600621619;84/16;76А01 № 0000334;30.04.2013;30.04.2025;Начальное общее образование, основное общее образование, среднее общее образование ;04.04.2016;333/05-03;;;;;;;;;57.609172;39.979351
535;муниципальное общеобразовательное учреждение  Рузбугинская начальная  школа -детский сад ;Российская Федерация 152483 Ярославская область, Любимский район, деревня Рузбугино, Школьный переулок, дом № 6 ;7618002571;1027601460798;166/16;76А01 № 0000413;27.04.2015;27.04.2027;Начальное общее образование ;24.10.2016;746/05-03;;;;;;;;;58.076711;40.654561
536;муниципальное общеобразовательное учреждение Пречистенская средняя школа ;152430, Российская Федерация, Ярославская  область, Первомайский район, п. Пречистое, ул. Ярославская, д. 86 А ;7623003468;1027601458345;160/16;76А01 № 0000407;30.04.2013;30.04.2025;Начальное общее образование, основное общее образование,  среднее общее образование ;20.10.2016;731/05-03;;;;;;;;;58.428482;40.315932
